,level_0,index,log_price,accommodates,city,number_of_reviews,review_scores_rating,grade
63,72,101,4.007333185232471,2,LA,28,99.0,A
64,73,102,4.8283137373023015,2,SF,1,80.0,B
65,75,104,6.171700597410915,9,LA,32,96.0,A
66,76,105,6.551080335043403,6,LA,18,99.0,A
67,77,107,4.007333185232471,2,NYC,144,96.0,A
68,78,109,5.293304824724492,9,Chicago,10,96.0,A
69,79,110,4.0943445622221,2,NYC,5,85.0,B
70,80,113,4.976733742420574,3,SF,16,94.0,A
71,82,115,4.174387269895637,2,NYC,7,94.0,A
72,83,116,4.060443010546419,2,LA,1,100.0,A
73,84,117,4.90527477843843,2,NYC,38,88.0,B
74,85,118,4.653960350157523,2,NYC,14,89.0,B
75,86,119,4.48863636973214,1,NYC,7,93.0,A
76,87,120,5.634789603169249,8,LA,3,90.0,A
77,88,121,5.783825182329737,4,SF,9,100.0,A
78,89,123,4.31748811353631,4,NYC,105,89.0,B
79,90,124,5.937536205082426,10,LA,59,96.0,A
80,91,125,4.0943445622221,6,NYC,1,100.0,A
81,92,126,4.382026634673881,2,NYC,67,99.0,A
82,93,127,4.867534450455582,3,DC,3,93.0,A
83,94,128,5.0689042022202315,3,LA,10,98.0,A
84,95,129,4.127134385045092,2,NYC,16,96.0,A
85,96,130,5.298317366548036,7,LA,3,100.0,A
86,97,131,4.465908118654584,2,NYC,13,94.0,A
87,99,134,4.962844630259907,2,Boston,2,80.0,B
88,100,135,5.598421958998375,6,SF,1,100.0,A
89,101,136,4.382026634673881,3,LA,73,98.0,A
90,104,140,5.6167710976665735,4,LA,23,90.0,A
91,106,143,4.9344739331306915,3,NYC,15,99.0,A
92,107,144,4.8283137373023015,4,LA,18,90.0,A
93,108,145,4.605170185988092,2,NYC,21,86.0,B
94,109,146,4.48863636973214,2,LA,120,90.0,A
95,110,149,6.745236349484363,2,NYC,5,100.0,A
96,111,150,4.007333185232471,1,Boston,1,100.0,A
97,113,153,6.214608098422191,7,LA,10,98.0,A
98,114,154,6.527957917622548,4,NYC,3,100.0,A
99,115,156,5.0106352940962555,4,NYC,25,94.0,A
100,116,157,4.248495242049359,2,DC,8,93.0,A
101,117,158,4.605170185988092,2,LA,9,96.0,A
102,119,160,5.541263545158426,2,NYC,2,100.0,A
103,120,161,4.605170185988092,4,Boston,61,99.0,A
104,121,162,5.081404364984463,2,Chicago,4,100.0,A
105,122,163,4.4998096703302615,2,SF,87,88.0,B
106,123,164,4.605170185988092,1,NYC,13,95.0,A
107,126,167,5.575949103146316,5,NYC,15,97.0,A
108,127,168,4.897839799950911,2,NYC,206,91.0,A
109,128,169,5.48063892334199,6,LA,26,100.0,A
110,129,170,4.219507705176107,2,LA,8,100.0,A
111,131,173,4.31748811353631,2,LA,43,97.0,A
112,132,174,4.31748811353631,2,NYC,73,95.0,A
113,133,176,4.356708826689592,2,NYC,44,94.0,A
114,134,178,5.1647859739235145,3,SF,3,100.0,A
115,135,179,4.976733742420574,4,LA,104,98.0,A
116,136,180,5.0106352940962555,5,NYC,22,95.0,A
117,137,181,4.941642422609304,3,NYC,3,100.0,A
118,138,182,5.5174528964647065,6,NYC,6,93.0,A
119,139,184,4.700480365792417,3,NYC,6,97.0,A
120,140,185,4.605170185988092,3,NYC,1,100.0,A
121,141,186,4.442651256490317,2,NYC,16,93.0,A
122,142,187,4.59511985013459,3,LA,47,92.0,A
123,144,189,4.8283137373023015,1,NYC,3,100.0,A
124,145,190,4.6913478822291435,6,LA,7,100.0,A
125,146,191,5.521460917862246,4,NYC,3,80.0,B
126,147,192,4.382026634673881,2,NYC,1,100.0,A
127,148,193,4.74493212836325,6,LA,1,100.0,A
128,149,194,5.1647859739235145,3,Boston,5,100.0,A
129,151,196,5.6167710976665735,6,SF,186,97.0,A
130,152,197,5.272999558563747,5,LA,3,100.0,A
131,153,198,5.1647859739235145,2,NYC,6,97.0,A
132,154,199,4.859812404361672,4,NYC,15,87.0,B
133,155,200,5.433722003554242,2,Boston,9,89.0,B
134,156,201,4.59511985013459,2,NYC,2,100.0,A
135,157,202,4.4998096703302615,1,NYC,34,94.0,A
136,158,203,4.553876891600541,3,SF,8,75.0,C
137,159,204,5.1647859739235145,3,NYC,11,94.0,A
138,160,205,4.584967478670572,2,LA,36,96.0,A
139,161,206,4.59511985013459,3,NYC,27,87.0,B
140,162,207,4.867534450455582,6,NYC,2,90.0,A
141,164,209,4.787491742782046,2,NYC,9,93.0,A
142,165,210,4.31748811353631,2,NYC,167,89.0,B
143,166,211,4.605170185988092,2,LA,12,98.0,A
144,167,212,5.087596335232384,4,LA,3,93.0,A
145,168,215,4.382026634673881,2,NYC,9,100.0,A
146,169,216,5.978885764901122,6,SF,48,99.0,A
147,170,217,4.8283137373023015,2,SF,102,95.0,A
148,171,219,5.0106352940962555,2,NYC,3,100.0,A
149,172,220,4.127134385045092,2,NYC,2,100.0,A
150,173,221,5.0106352940962555,4,LA,8,93.0,A
151,174,223,5.220355825078324,4,DC,4,100.0,A
152,175,224,5.963579343618448,5,Boston,3,100.0,A
153,177,226,5.272999558563747,2,SF,2,100.0,A
154,178,227,4.248495242049359,2,NYC,9,91.0,A
155,179,229,4.4067192472642525,2,LA,51,93.0,A
156,180,230,4.4998096703302615,2,NYC,43,92.0,A
157,181,231,4.442651256490317,1,NYC,2,100.0,A
158,182,232,5.298317366548036,2,NYC,1,100.0,A
159,183,234,4.6913478822291435,2,SF,22,96.0,A
160,184,235,6.131226489483143,6,LA,2,100.0,A
161,185,237,5.783825182329737,8,NYC,8,80.0,B
162,188,240,6.214608098422191,6,DC,1,100.0,A
163,189,241,4.382026634673881,2,Boston,31,97.0,A
164,190,242,4.0943445622221,2,NYC,9,93.0,A
165,191,243,5.135798437050261,2,NYC,1,100.0,A
166,192,244,4.8283137373023015,4,LA,67,98.0,A
167,193,247,5.1647859739235145,2,NYC,2,100.0,A
168,194,248,4.174387269895637,2,LA,31,95.0,A
169,195,249,4.553876891600541,2,LA,2,100.0,A
170,196,250,5.37989735354046,4,DC,13,97.0,A
171,197,251,5.521460917862246,2,LA,36,99.0,A
172,198,252,5.68697535633982,4,NYC,28,99.0,A
173,199,253,4.007333185232471,1,NYC,6,100.0,A
174,200,254,5.991464547107983,10,LA,3,93.0,A
175,201,255,4.4188406077965965,4,LA,126,91.0,A
176,204,258,5.666426688112433,4,LA,26,98.0,A
177,205,259,5.6167710976665735,4,NYC,5,96.0,A
178,206,260,5.1647859739235145,3,Chicago,1,100.0,A
179,208,263,4.07753744390572,2,NYC,5,76.0,C
180,209,264,5.288267030694535,2,SF,138,95.0,A
181,211,267,4.31748811353631,2,LA,73,98.0,A
182,212,268,5.883322388488279,2,Chicago,1,80.0,B
183,213,269,4.382026634673881,2,Boston,1,100.0,A
184,214,270,5.003946305945459,4,SF,72,93.0,A
185,215,271,4.927253685157205,4,LA,38,94.0,A
186,216,272,4.382026634673881,2,LA,21,94.0,A
187,217,273,4.48863636973214,2,NYC,22,95.0,A
188,219,275,4.7791234931115305,2,NYC,44,91.0,A
189,220,277,4.59511985013459,2,NYC,2,90.0,A
190,221,280,4.787491742782046,2,SF,1,100.0,A
191,222,282,5.337538079701318,5,LA,4,100.0,A
192,223,283,5.1929568508902095,2,LA,15,96.0,A
193,224,284,4.8283137373023015,2,LA,3,100.0,A
194,226,286,5.187385805840755,6,DC,7,100.0,A
195,227,287,5.521460917862246,2,NYC,1,80.0,B
196,229,289,5.220355825078324,2,NYC,10,96.0,A
197,230,290,4.477336814478207,2,LA,2,100.0,A
198,231,291,7.003065458786463,4,NYC,9,100.0,A
199,232,292,5.521460917862246,5,SF,8,100.0,A
200,233,293,4.8283137373023015,2,DC,107,96.0,A
201,234,294,4.174387269895637,2,NYC,17,92.0,A
202,235,295,4.634728988229637,4,LA,12,97.0,A
203,236,296,4.442651256490317,2,NYC,1,80.0,B
204,237,297,4.90527477843843,4,SF,5,92.0,A
205,238,298,4.90527477843843,3,NYC,14,97.0,A
206,239,299,4.174387269895637,2,LA,18,98.0,A
207,240,302,5.0106352940962555,4,NYC,2,90.0,A
208,241,303,4.3694478524670215,2,Boston,25,90.0,A
209,242,304,4.59511985013459,2,LA,29,92.0,A
210,243,305,4.8283137373023015,4,NYC,28,89.0,B
211,244,306,5.736572297479192,16,LA,7,87.0,B
212,245,307,5.043425116919247,2,LA,3,100.0,A
213,246,308,5.1298987149230735,4,LA,6,100.0,A
214,247,310,4.624972813284272,2,NYC,17,85.0,B
215,249,317,4.700480365792417,4,NYC,5,90.0,A
216,251,321,4.59511985013459,2,NYC,1,100.0,A
217,252,323,4.442651256490317,2,NYC,16,94.0,A
218,253,324,4.442651256490317,2,Chicago,14,89.0,B
219,254,325,5.1929568508902095,2,LA,2,90.0,A
220,255,326,5.1929568508902095,4,NYC,2,80.0,B
221,256,327,5.66988092298052,3,NYC,23,99.0,A
222,257,328,5.926926025970412,5,SF,7,100.0,A
223,258,330,4.442651256490317,1,NYC,1,100.0,A
224,259,331,4.060443010546419,1,NYC,4,100.0,A
225,260,332,4.442651256490317,2,NYC,8,100.0,A
226,261,333,5.135798437050261,2,NYC,10,96.0,A
227,262,334,4.787491742782046,2,LA,1,100.0,A
228,263,335,5.075173815233828,2,Boston,58,98.0,A
229,264,336,4.605170185988092,2,DC,1,80.0,B
230,265,337,4.700480365792417,2,NYC,11,94.0,A
231,267,339,4.709530201312334,2,LA,79,98.0,A
232,268,340,4.4998096703302615,4,DC,98,94.0,A
233,269,341,4.6913478822291435,4,LA,17,85.0,B
234,270,342,4.007333185232471,7,LA,2,100.0,A
235,271,343,4.543294782270004,2,LA,39,91.0,A
236,272,344,4.74493212836325,2,NYC,12,93.0,A
237,273,345,4.634728988229637,4,NYC,1,100.0,A
238,274,347,6.856461984594588,8,LA,12,98.0,A
239,275,351,4.174387269895637,3,LA,30,95.0,A
240,277,354,4.0943445622221,3,LA,8,100.0,A
241,278,355,4.59511985013459,4,LA,43,94.0,A
242,279,357,4.248495242049359,2,LA,187,94.0,A
243,280,358,5.220355825078324,3,NYC,5,100.0,A
244,281,359,4.59511985013459,2,SF,123,97.0,A
245,282,360,5.293304824724492,2,NYC,63,94.0,A
246,283,362,5.783825182329737,4,DC,1,100.0,A
247,284,363,4.709530201312334,2,NYC,17,93.0,A
248,288,368,4.653960350157523,2,NYC,13,100.0,A
249,291,372,5.1647859739235145,4,NYC,13,94.0,A
250,292,373,4.605170185988092,2,SF,7,95.0,A
251,293,374,4.3694478524670215,2,LA,18,94.0,A
252,295,379,4.912654885736052,6,NYC,30,99.0,A
253,296,380,4.4998096703302615,1,LA,1,100.0,A
254,297,381,4.442651256490317,4,Chicago,55,95.0,A
255,298,382,4.8283137373023015,4,DC,54,98.0,A
256,299,383,4.174387269895637,2,LA,7,100.0,A
257,300,384,4.605170185988092,2,LA,27,93.0,A
258,301,385,4.941642422609304,2,SF,52,95.0,A
259,302,386,4.248495242049359,2,NYC,42,95.0,A
260,303,387,4.007333185232471,2,NYC,5,100.0,A
261,304,389,5.940171252720432,6,SF,17,96.0,A
262,305,390,5.393627546352364,2,NYC,2,100.0,A
263,306,391,4.007333185232471,2,NYC,12,90.0,A
264,308,395,4.605170185988092,3,NYC,27,88.0,B
265,310,397,5.0369526024136295,4,NYC,30,92.0,A
266,311,398,6.396929655216146,8,NYC,16,86.0,B
267,312,399,5.703782474656202,2,NYC,1,100.0,A
268,313,401,7.569411792450713,8,LA,1,100.0,A
269,314,403,5.703782474656202,4,SF,5,96.0,A
270,315,404,5.598421958998375,2,Boston,7,100.0,A
271,316,406,4.700480365792417,2,NYC,6,83.0,B
272,317,407,4.442651256490317,4,LA,9,87.0,B
273,320,411,4.59511985013459,6,LA,26,82.0,B
274,321,412,4.31748811353631,3,LA,13,78.0,C
275,322,414,4.3694478524670215,2,NYC,75,95.0,A
276,323,415,5.0106352940962555,4,NYC,8,88.0,B
277,324,416,5.293304824724492,6,DC,43,100.0,A
278,326,418,5.075173815233828,6,LA,17,98.0,A
279,327,420,5.1647859739235145,2,Boston,128,95.0,A
280,328,421,4.859812404361672,4,LA,6,100.0,A
281,329,423,4.007333185232471,1,NYC,60,93.0,A
282,330,424,4.8283137373023015,2,SF,90,98.0,A
283,332,426,4.59511985013459,2,LA,1,100.0,A
284,333,427,4.382026634673881,2,NYC,52,96.0,A
285,334,429,4.859812404361672,3,Boston,15,94.0,A
286,335,430,5.293304824724492,2,NYC,4,90.0,A
287,336,431,4.9344739331306915,2,LA,2,80.0,B
288,337,432,4.31748811353631,2,NYC,1,100.0,A
289,338,433,5.700443573390688,4,LA,11,93.0,A
290,339,434,5.556828061699537,6,LA,22,95.0,A
291,340,435,4.976733742420574,2,NYC,14,97.0,A
292,341,436,4.867534450455582,2,NYC,2,100.0,A
293,342,437,5.298317366548036,4,Chicago,18,95.0,A
294,343,438,4.653960350157523,3,DC,14,92.0,A
295,344,439,4.8283137373023015,3,SF,254,95.0,A
296,345,440,4.248495242049359,2,NYC,21,93.0,A
297,346,441,5.0106352940962555,2,NYC,1,80.0,B
298,347,442,5.3230099791384085,4,NYC,6,90.0,A
299,348,443,5.666426688112433,10,LA,7,97.0,A
300,350,445,4.74493212836325,2,NYC,4,95.0,A
301,351,446,5.187385805840755,2,NYC,3,100.0,A
302,352,449,4.90527477843843,2,NYC,135,93.0,A
303,353,450,5.272999558563747,4,LA,29,99.0,A
304,354,451,4.442651256490317,2,LA,42,91.0,A
305,355,452,4.59511985013459,2,LA,7,91.0,A
306,356,453,5.988961416889862,4,NYC,13,93.0,A
307,357,454,4.867534450455582,6,NYC,12,82.0,B
308,358,455,4.4998096703302615,1,SF,11,100.0,A
309,359,458,4.976733742420574,4,LA,55,95.0,A
310,360,461,4.007333185232471,2,DC,12,93.0,A
311,361,462,4.394449154672439,2,NYC,64,91.0,A
312,362,463,4.07753744390572,1,NYC,10,90.0,A
313,363,464,5.1647859739235145,4,NYC,44,99.0,A
314,365,466,5.521460917862246,8,SF,54,94.0,A
315,366,467,5.0689042022202315,4,NYC,36,98.0,A
316,367,470,4.941642422609304,4,DC,7,91.0,A
317,368,473,4.605170185988092,3,LA,99,94.0,A
318,369,474,5.0238805208462765,6,LA,14,99.0,A
319,370,477,4.189654742026425,2,NYC,6,100.0,A
320,371,478,4.219507705176107,1,Chicago,18,99.0,A
321,372,479,4.859812404361672,6,Chicago,29,96.0,A
322,373,481,4.6913478822291435,2,NYC,191,90.0,A
323,374,482,5.988961416889862,11,DC,57,99.0,A
324,375,483,5.298317366548036,2,NYC,19,96.0,A
325,376,484,6.684611727667928,4,SF,4,100.0,A
326,377,487,5.135798437050261,2,NYC,4,90.0,A
327,378,488,5.043425116919247,4,LA,6,100.0,A
328,379,489,4.74493212836325,3,NYC,11,94.0,A
329,380,490,4.0943445622221,1,NYC,24,96.0,A
330,381,491,5.1929568508902095,2,NYC,43,92.0,A
331,382,493,4.23410650459726,2,DC,28,96.0,A
332,383,494,5.3471075307174685,5,NYC,13,89.0,B
333,384,496,4.700480365792417,2,NYC,12,90.0,A
334,386,498,4.0943445622221,2,DC,1,100.0,A
335,387,499,4.553876891600541,2,LA,3,87.0,B
336,389,501,4.859812404361672,4,NYC,25,89.0,B
337,390,504,4.7791234931115305,2,NYC,3,100.0,A
338,391,505,4.7791234931115305,2,LA,12,100.0,A
339,392,507,5.0106352940962555,5,SF,3,100.0,A
340,393,509,5.293304824724492,4,LA,1,80.0,B
341,394,511,5.5174528964647065,3,NYC,51,93.0,A
342,395,512,5.272999558563747,8,NYC,13,82.0,B
343,396,513,4.59511985013459,4,LA,30,97.0,A
344,397,515,5.703782474656202,6,NYC,32,99.0,A
345,399,517,4.31748811353631,2,NYC,7,100.0,A
346,400,518,5.796057750765373,3,NYC,3,80.0,B
347,401,520,5.703782474656202,8,Chicago,1,100.0,A
348,402,521,5.075173815233828,2,SF,8,97.0,A
349,403,523,4.07753744390572,3,NYC,10,80.0,B
350,405,526,4.48863636973214,2,NYC,2,90.0,A
351,406,528,4.700480365792417,3,SF,139,93.0,A
352,408,530,5.521460917862246,5,NYC,2,100.0,A
353,409,531,5.003946305945459,2,NYC,129,97.0,A
354,410,532,5.075173815233828,2,SF,28,98.0,A
355,412,534,4.442651256490317,4,Chicago,14,94.0,A
356,413,535,4.941642422609304,4,NYC,7,100.0,A
357,414,536,4.143134726391533,2,LA,1,100.0,A
358,415,538,5.0106352940962555,2,NYC,3,93.0,A
359,417,540,6.38856140554563,8,SF,1,100.0,A
360,418,541,5.5606816310155285,3,NYC,3,100.0,A
361,419,545,6.192362489474872,5,LA,43,98.0,A
362,420,546,5.298317366548036,4,NYC,5,92.0,A
363,421,548,4.74493212836325,3,NYC,24,95.0,A
364,422,549,4.6913478822291435,2,LA,74,97.0,A
365,423,550,4.248495242049359,2,LA,3,93.0,A
366,424,552,4.48863636973214,1,LA,79,100.0,A
367,426,554,5.298317366548036,3,NYC,7,91.0,A
368,427,555,4.718498871295094,5,SF,318,87.0,B
369,429,558,4.5217885770490405,2,LA,3,100.0,A
370,431,562,4.941642422609304,2,LA,33,96.0,A
371,432,563,5.416100402204419,2,Boston,187,85.0,B
372,433,564,5.187385805840755,4,DC,33,96.0,A
373,434,567,5.703782474656202,9,Boston,1,100.0,A
374,435,570,4.382026634673881,2,NYC,35,92.0,A
375,436,571,4.867534450455582,5,NYC,14,97.0,A
376,437,572,5.3706380281276624,2,NYC,3,87.0,B
377,440,577,4.59511985013459,4,LA,9,96.0,A
378,441,578,4.007333185232471,2,NYC,10,96.0,A
379,443,580,7.003065458786463,8,NYC,15,99.0,A
380,444,581,5.105945473900579,2,NYC,8,93.0,A
381,445,582,4.48863636973214,2,Boston,3,87.0,B
382,446,583,5.075173815233828,2,NYC,1,100.0,A
383,447,584,4.07753744390572,1,NYC,1,100.0,A
384,449,587,5.1647859739235145,6,NYC,23,100.0,A
385,450,589,5.298317366548036,2,NYC,1,100.0,A
386,452,592,5.6167710976665735,5,SF,25,98.0,A
387,454,595,4.48863636973214,2,LA,11,98.0,A
388,455,596,4.700480365792417,2,NYC,5,100.0,A
389,456,597,4.07753744390572,4,LA,13,98.0,A
390,457,600,5.351858133476067,3,SF,13,95.0,A
391,458,601,4.700480365792417,1,NYC,1,100.0,A
392,459,603,4.31748811353631,2,NYC,38,96.0,A
393,460,604,5.634789603169249,8,NYC,26,93.0,A
394,461,606,4.9344739331306915,4,NYC,10,98.0,A
395,462,607,4.941642422609304,2,SF,15,100.0,A
396,463,608,4.174387269895637,2,NYC,11,93.0,A
397,464,609,4.343805421853683,1,LA,23,96.0,A
398,465,610,4.23410650459726,2,LA,25,97.0,A
399,466,612,4.6443908991413725,2,NYC,1,80.0,B
400,467,613,4.553876891600541,2,NYC,22,96.0,A
401,468,615,5.0106352940962555,3,NYC,16,98.0,A
402,469,616,5.293304824724492,6,LA,31,96.0,A
403,470,618,5.0106352940962555,2,NYC,3,100.0,A
404,471,619,4.174387269895637,2,SF,28,73.0,C
405,473,621,4.787491742782046,3,Chicago,44,90.0,A
406,474,622,5.247024072160486,2,SF,2,100.0,A
407,477,626,5.872117789475416,8,LA,37,92.0,A
408,478,628,5.043425116919247,4,SF,85,92.0,A
409,480,630,6.204557762568692,8,LA,29,96.0,A
410,481,631,4.174387269895637,2,Chicago,20,94.0,A
411,482,632,5.703782474656202,4,Boston,13,90.0,A
412,483,633,4.043051267834549,3,NYC,70,94.0,A
413,484,634,5.3706380281276624,4,NYC,3,73.0,C
414,485,635,4.74493212836325,2,SF,191,97.0,A
415,486,636,4.7791234931115305,2,NYC,6,97.0,A
416,487,637,5.1647859739235145,2,NYC,25,91.0,A
417,488,638,4.31748811353631,2,DC,2,100.0,A
418,489,639,4.8283137373023015,2,LA,48,94.0,A
419,491,641,5.075173815233828,3,NYC,1,80.0,B
420,492,642,5.991464547107983,12,NYC,46,85.0,B
421,493,643,4.442651256490317,5,Chicago,32,96.0,A
422,494,644,4.48863636973214,1,NYC,93,96.0,A
423,496,646,4.859812404361672,6,DC,40,95.0,A
424,497,647,5.736572297479192,4,LA,83,96.0,A
425,498,648,4.787491742782046,3,SF,46,96.0,A
426,499,649,4.382026634673881,1,NYC,6,100.0,A
427,500,650,4.3694478524670215,2,NYC,8,89.0,B
428,502,652,5.298317366548036,4,NYC,45,87.0,B
429,503,653,4.48863636973214,2,SF,21,99.0,A
430,504,654,4.859812404361672,4,NYC,70,89.0,B
431,505,655,4.553876891600541,4,DC,25,90.0,A
432,506,657,5.501258210544727,4,NYC,19,89.0,B
433,507,659,4.8283137373023015,2,LA,19,91.0,A
434,508,662,4.248495242049359,2,LA,4,80.0,B
435,509,663,4.8283137373023015,4,NYC,1,100.0,A
436,510,664,4.787491742782046,3,LA,6,97.0,A
437,512,667,5.272999558563747,2,Boston,41,99.0,A
438,513,671,4.787491742782046,2,LA,9,93.0,A
439,514,672,4.553876891600541,5,NYC,79,92.0,A
440,515,673,5.1929568508902095,4,LA,23,88.0,B
441,516,674,4.59511985013459,4,Chicago,43,98.0,A
442,517,675,4.867534450455582,4,NYC,19,94.0,A
443,518,676,4.59511985013459,2,NYC,15,95.0,A
444,519,677,4.248495242049359,2,LA,49,99.0,A
445,520,678,4.997212273764115,2,NYC,12,94.0,A
446,521,679,4.248495242049359,2,NYC,2,100.0,A
447,522,680,4.356708826689592,2,SF,289,87.0,B
448,523,681,5.293304824724492,6,NYC,1,100.0,A
449,524,686,4.174387269895637,2,NYC,4,95.0,A
450,526,691,4.07753744390572,2,LA,52,100.0,A
451,527,693,5.703782474656202,2,NYC,2,90.0,A
452,528,694,6.198478716492307,5,NYC,43,95.0,A
453,529,695,4.820281565605037,2,SF,54,98.0,A
454,531,697,4.4998096703302615,3,SF,12,88.0,B
455,533,700,4.867534450455582,5,NYC,17,96.0,A
456,534,702,4.4998096703302615,2,NYC,1,100.0,A
457,535,703,5.631211781821365,4,SF,11,100.0,A
458,536,704,5.105945473900579,3,SF,190,97.0,A
459,537,706,4.927253685157205,3,NYC,9,98.0,A
460,538,708,4.787491742782046,6,NYC,6,97.0,A
461,539,709,4.605170185988092,2,LA,1,100.0,A
462,540,710,4.553876891600541,2,Boston,14,93.0,A
463,541,711,4.605170185988092,2,NYC,10,94.0,A
464,542,714,4.248495242049359,3,DC,17,94.0,A
465,543,715,5.501258210544727,4,NYC,25,98.0,A
466,544,716,5.666426688112433,2,Boston,6,93.0,A
467,545,717,4.59511985013459,2,Chicago,11,96.0,A
468,546,718,4.043051267834549,2,NYC,1,80.0,B
469,547,719,4.48863636973214,2,LA,41,99.0,A
470,548,720,4.174387269895637,2,LA,7,93.0,A
471,549,721,6.684611727667928,7,DC,1,100.0,A
472,550,722,4.394449154672439,1,NYC,61,85.0,B
473,551,723,4.4998096703302615,2,NYC,1,100.0,A
474,552,724,4.8283137373023015,3,NYC,28,90.0,A
475,553,725,5.594711379601837,8,NYC,2,100.0,A
476,554,726,5.147494476813453,4,LA,10,98.0,A
477,555,727,4.605170185988092,3,NYC,4,80.0,B
478,556,728,4.007333185232471,2,NYC,2,90.0,A
479,557,730,5.857933154483459,6,LA,34,98.0,A
480,558,731,4.584967478670572,2,LA,62,96.0,A
481,559,732,5.187385805840755,3,DC,47,94.0,A
482,560,735,4.787491742782046,2,NYC,20,97.0,A
483,561,736,4.23410650459726,1,LA,6,97.0,A
484,562,737,6.907755278982138,11,SF,9,98.0,A
485,563,738,4.248495242049359,2,NYC,5,100.0,A
486,565,741,4.8283137373023015,2,DC,8,94.0,A
487,566,743,6.3543700407973525,5,SF,35,99.0,A
488,567,744,4.31748811353631,2,LA,24,94.0,A
489,568,745,5.0106352940962555,2,NYC,16,80.0,B
490,569,746,4.564348191467836,4,LA,5,95.0,A
491,570,747,5.247024072160486,8,DC,85,89.0,B
492,571,748,4.553876891600541,2,NYC,2,100.0,A
493,572,749,5.298317366548036,4,NYC,14,88.0,B
494,573,753,5.0106352940962555,2,Chicago,51,94.0,A
495,574,754,4.553876891600541,2,NYC,88,97.0,A
496,575,755,4.867534450455582,4,NYC,34,97.0,A
497,576,756,5.814130531825067,10,NYC,37,98.0,A
498,577,759,4.174387269895637,2,NYC,15,99.0,A
499,578,760,5.631211781821365,9,LA,78,96.0,A
